document,compile_component,locate_component,traverse_component,NOD,DEF,OCC,LOC,gotoDefinition,rename,completion
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/DEF/bx/DEF_80.java,77.56133333333337,148.07923333333335,0.9998666666666667,1253.0,80.0,723.0,611.0,206.82195,144.9369125,79.0577875
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/DEF/by/DEF_160.java,110.50366666666669,220.21956666666665,0.5014333333333334,1889.0,160.0,1053.0,1011.0,310.11327500000004,223.80568750000003,109.21907499999998
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/DEF/bz/DEF_240.java,177.92533333333336,427.5177999999999,0.8688333333333335,3294.0,240.0,2050.0,1617.0,412.1978874999999,311.670075,130.10635
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/DEF/ca/DEF_320.java,166.07453333333333,481.2685333333334,0.5015333333333334,3753.0,320.0,2231.0,1626.0,565.1748249999999,500.62338750000004,174.3597
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/DEF/cb/DEF_400.java,207.74553333333333,151.6242333333333,0.5004666666666666,1294.0,400.0,592.0,1727.0,159.54919999999998,157.11446249999997,215.37376249999997
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/DEF/cc/DEF_480.java,280.8216666666666,682.5359,0.5023000000000001,5617.0,478.0,3278.0,3107.0,762.4459375000001,695.861,298.57135000000005
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/DEF/cd/DEF_560.java,217.4464,867.4923333333331,0.5012,7369.0,560.0,3951.0,2357.0,910.3596625000002,894.0211625,234.52137499999995
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/DEF/ce/DEF_640.java,271.5967,927.5301333333332,0.8345666666666666,7461.0,640.0,4566.0,3290.0,1008.0911749999998,991.9101125,275.33732499999996
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/DEF/cf/DEF_720.java,310.95076666666665,1091.1273999999999,0.8340333333333332,8691.0,720.0,5267.0,3850.0,1166.0806249999998,1140.0782875000002,314.7863500000001
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/DEF/cg/DEF_800.java,303.73476666666664,1027.8762333333334,0.33266666666666667,10085.0,800.0,6252.0,4447.0,1807.3493500000004,1703.5369499999997,453.427475
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/DEF/ch/DEF_880.java,500.07930000000005,1958.3498666666667,0.8336666666666668,11327.0,880.0,6654.0,4886.0,747.1609625,754.7786750000001,202.1987125
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/DEF/ci/DEF_960.java,215.7206666666667,815.1116666666667,0.5023333333333333,12950.0,960.0,7642.0,5411.0,852.7562874999999,865.9615500000001,225.76359999999997
