document,compile_component,locate_component,traverse_component,NOD,DEF,OCC,LOC,gotoDefinition,rename,completion
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/DEF/bx/DEF_80.java,10.333333333333334,23.333333333333332,0.3333333333333333,1253.0,80.0,723.0,611.0,25.375,21.75,11.875
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/DEF/by/DEF_160.java,8.333333333333334,26.666666666666668,0.0,1889.0,160.0,1053.0,1011.0,26.875,25.75,6.125
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/DEF/bz/DEF_240.java,8.333333333333334,47.666666666666664,0.0,3294.0,240.0,2050.0,1617.0,51.125,49.5,9.25
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/DEF/ca/DEF_320.java,7.333333333333333,54.0,0.0,3753.0,320.0,2231.0,1626.0,55.125,54.625,7.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/DEF/cb/DEF_400.java,5.666666666666667,16.333333333333332,0.0,1294.0,400.0,592.0,1727.0,17.25,17.25,6.75
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/DEF/cc/DEF_480.java,7.0,75.66666666666667,0.0,5617.0,478.0,3278.0,3107.0,78.25,77.0,7.875
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/DEF/cd/DEF_560.java,5.666666666666667,98.33333333333333,0.0,7369.0,560.0,3951.0,2357.0,99.375,99.875,5.875
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/DEF/ce/DEF_640.java,8.333333333333334,105.0,0.0,7461.0,640.0,4566.0,3290.0,107.0,105.875,6.75
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/DEF/cf/DEF_720.java,7.333333333333333,126.0,0.0,8691.0,720.0,5267.0,3850.0,130.5,125.5,7.25
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/DEF/cg/DEF_800.java,8.666666666666666,154.66666666666666,0.0,10085.0,800.0,6252.0,4447.0,155.0,150.125,8.125
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/DEF/ch/DEF_880.java,7.666666666666667,159.66666666666666,0.0,11327.0,880.0,6654.0,4886.0,160.0,158.25,8.75
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/DEF/ci/DEF_960.java,8.666666666666666,180.33333333333334,0.0,12950.0,960.0,7642.0,5411.0,190.5,184.0,8.875
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/DEF/cj/DEF_1040.java,9.0,196.0,0.0,13827.0,1040.0,8150.0,5883.0,194.875,187.875,9.625
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/DEF/ck/DEF_1120.java,9.333333333333334,214.66666666666666,0.0,15466.0,1119.0,8980.0,6073.0,216.25,214.75,9.625
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/DEF/cl/DEF_1200.java,10.333333333333334,218.33333333333334,0.0,15755.0,1200.0,9328.0,6470.0,224.5,218.75,10.25
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/DEF/cm/DEF_1280.java,10.666666666666666,232.33333333333334,0.0,16541.0,1280.0,9724.0,7011.0,231.5,230.375,11.875
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/DEF/cn/DEF_1360.java,11.0,202.66666666666666,0.0,14345.0,1360.0,8308.0,7093.0,202.125,204.0,12.125
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/DEF/co/DEF_1440.java,12.333333333333334,246.0,0.0,16840.0,1440.0,10042.0,6879.0,249.625,249.75,12.875
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/DEF/cp/DEF_1520.java,17.666666666666668,360.0,0.0,19542.0,1520.0,11749.0,8337.0,334.625,360.625,19.375
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/DEF/cq/DEF_1600.java,23.333333333333332,391.3333333333333,0.0,21217.0,1598.0,12642.0,8793.0,341.75,326.125,15.125
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/DEF/cr/DEF_1680.java,19.666666666666668,332.3333333333333,0.0,21683.0,1679.0,12892.0,8977.0,411.375,401.5,14.5
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/DEF/cs/DEF_1760.java,16.333333333333332,344.0,0.0,23087.0,1760.0,13585.0,9962.0,344.875,351.75,17.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/DEF/ct/DEF_1840.java,16.666666666666668,349.6666666666667,0.0,24785.0,1840.0,14651.0,10365.0,357.25,347.75,15.25
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/DEF/cu/DEF_1920.java,13.0,358.6666666666667,0.0,25518.0,1920.0,15063.0,10771.0,369.25,366.875,15.875
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/DEF/cv/DEF_2000.java,14.0,355.6666666666667,0.0,25719.0,2000.0,15216.0,10875.0,369.75,365.125,16.5
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/LOC/a/LOC_400.java,1.3333333333333333,12.0,0.0,905.0,65.0,566.0,399.0,13.0,12.125,1.75
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/LOC/b/LOC_800.java,1.3333333333333333,28.333333333333332,0.0,1952.0,127.0,1273.0,785.0,29.5,29.125,2.375
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/LOC/c/LOC_1200.java,2.6666666666666665,34.0,0.0,2651.0,212.0,1461.0,1199.0,36.25,35.375,2.875
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/LOC/d/LOC_1600.java,4.0,78.66666666666667,0.0,5021.0,340.0,3095.0,1575.0,73.875,72.625,3.125
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/LOC/e/LOC_2000.java,3.3333333333333335,58.666666666666664,0.0,4296.0,378.0,2480.0,1996.0,59.625,60.125,4.125
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/LOC/f/LOC_2400.java,5.0,102.33333333333333,0.0,7610.0,572.0,4141.0,2397.0,104.875,103.375,5.25
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/LOC/g/LOC_2800.java,5.333333333333333,110.0,1.0,8277.0,713.0,4503.0,2793.0,114.75,114.75,6.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/LOC/h/LOC_3200.java,5.0,76.0,0.0,5703.0,488.0,3325.0,3197.0,78.625,78.75,6.125
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/LOC/i/LOC_3600.java,6.333333333333333,94.66666666666667,0.0,6910.0,572.0,4017.0,3597.0,95.875,95.375,6.875
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/LOC/j/LOC_4000.java,7.0,105.33333333333333,0.0,7599.0,646.0,4518.0,3995.0,110.5,107.5,6.625
