target,feature,mean_importance,std_importance
compile_component,NOD,5.614251119360003,4.998125513169939
compile_component,LOC,5.385305800021611,4.597301238783768
compile_component,DEF,3.457482578842549,3.685254948964535
compile_component,OCC,2.655791823331512,3.3607686453263304
completion,LOC,5.381236324972429,4.905566416282333
completion,NOD,4.33040611917067,3.6604208726573084
completion,DEF,3.8941351109919546,3.9434911091589178
completion,OCC,0.2904236703329568,0.3553239770087699
gotoDefinition,OCC,0.6803086869934626,0.3992132589551391
gotoDefinition,DEF,0.5010495332850875,0.43257133858492736
gotoDefinition,NOD,0.40583735205807986,0.24955329514389005
gotoDefinition,LOC,0.1919576722806842,0.1319794319405608
locate_component,OCC,0.5690075726427444,0.15076937939012067
locate_component,NOD,0.36922876674488675,0.06336159073918418
locate_component,DEF,0.020509430413796825,0.02755785639560821
locate_component,LOC,0.013990514421965352,0.015087587656011798
rename,OCC,0.7441246278569864,0.265707976418318
rename,NOD,0.21994430112502653,0.11105635721009542
rename,LOC,0.033420253864050585,0.02505794804643895
rename,DEF,0.022486160155556816,0.017282908812139477
traverse_component,OCC,0.5175908745430827,0.20736479163506374
traverse_component,DEF,0.4992276580104111,0.26670788023699005
traverse_component,NOD,0.475967125348877,0.1765740618646208
traverse_component,LOC,0.32225127802122033,0.3986213501957954
