document,compile_component,locate_component,traverse_component,NOD,DEF,OCC,LOC,gotoDefinition,rename,completion
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/testDir/jfreechart/src/main/java/org/jfree/chart/annotations/AbstractAnnotation.java,5625.0,42.0,5.0,233.0,25.0,135.0,201.0,0.0,0.0,0.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/testDir/jfreechart/src/main/java/org/jfree/chart/annotations/AbstractXYAnnotation.java,1476.0,7.0,0.0,260.0,31.0,140.0,188.0,0.0,0.0,0.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/testDir/jfreechart/src/main/java/org/jfree/chart/annotations/Annotation.java,158.0,0.0,0.0,20.0,5.0,12.0,58.0,0.0,0.0,0.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/testDir/jfreechart/src/main/java/org/jfree/chart/annotations/CategoryAnnotation.java,374.0,1.0,0.0,27.0,7.0,18.0,56.0,0.0,0.0,0.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/testDir/jfreechart/src/main/java/org/jfree/chart/annotations/CategoryLineAnnotation.java,3194.0,15.0,1.0,799.0,61.0,511.0,390.0,0.0,0.0,0.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/testDir/jfreechart/src/main/java/org/jfree/chart/annotations/CategoryPointerAnnotation.java,4999.0,25.0,0.0,1075.0,84.0,663.0,503.0,0.0,0.0,0.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/testDir/jfreechart/src/main/java/org/jfree/chart/annotations/CategoryTextAnnotation.java,1177.0,8.0,0.0,463.0,39.0,280.0,241.0,0.0,0.0,0.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/testDir/jfreechart/src/main/java/org/jfree/chart/annotations/TextAnnotation.java,2158.0,7.0,0.0,515.0,43.0,309.0,352.0,0.0,0.0,0.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/testDir/jfreechart/src/main/java/org/jfree/chart/annotations/XYAnnotation.java,304.0,0.0,1.0,33.0,9.0,21.0,59.0,0.0,0.0,0.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/testDir/jfreechart/src/main/java/org/jfree/chart/annotations/XYBoxAnnotation.java,2468.0,15.0,1.0,738.0,63.0,448.0,350.0,0.0,0.0,0.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/testDir/jfreechart/src/main/java/org/jfree/chart/annotations/XYDataImageAnnotation.java,1764.0,11.0,0.0,596.0,60.0,357.0,329.0,0.0,0.0,0.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/testDir/jfreechart/src/main/java/org/jfree/chart/annotations/XYDrawableAnnotation.java,1413.0,8.0,0.0,605.0,51.0,355.0,274.0,0.0,0.0,0.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/testDir/jfreechart/src/main/java/org/jfree/chart/annotations/XYImageAnnotation.java,1761.0,6.0,0.0,499.0,51.0,301.0,269.0,0.0,0.0,0.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/testDir/jfreechart/src/main/java/org/jfree/chart/annotations/XYLineAnnotation.java,2091.0,8.0,0.0,720.0,56.0,432.0,326.0,0.0,0.0,0.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/testDir/jfreechart/src/main/java/org/jfree/chart/annotations/XYPointerAnnotation.java,4611.0,17.0,1.0,1167.0,86.0,715.0,514.0,0.0,0.0,0.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/testDir/jfreechart/src/main/java/org/jfree/chart/annotations/XYPolygonAnnotation.java,2066.0,10.0,0.0,698.0,47.0,436.0,308.0,0.0,0.0,0.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/testDir/jfreechart/src/main/java/org/jfree/chart/annotations/XYShapeAnnotation.java,2353.0,8.0,0.0,654.0,55.0,425.0,261.0,0.0,0.0,0.0
