document,compile_component,,traverse_component,NOD,DEF,OCC,LOC,gotoDefinition,rename,completion
file:///C:/Users/74993/Desktop/毕设/wll论文/java%20project/defects4j/project_repos/output/jfreechart/src/main/java/org/jfree/chart/annotations/AbstractAnnotation.java,2314.0,8.0,0.5,278.0,25.0,180.0,219.0,8.5,5.0,40.5
file:///C:/Users/74993/Desktop/毕设/wll论文/java%20project/defects4j/project_repos/output/jfreechart/src/main/java/org/jfree/chart/annotations/AbstractXYAnnotation.java,5.0,3.5,0.0,307.0,31.0,187.0,202.0,4.5,5.5,7.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java%20project/defects4j/project_repos/output/jfreechart/src/main/java/org/jfree/chart/annotations/CategoryLineAnnotation.java,5.5,10.0,0.0,928.0,61.0,640.0,424.0,11.5,10.5,6.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java%20project/defects4j/project_repos/output/jfreechart/src/main/java/org/jfree/chart/annotations/CategoryPointerAnnotation.java,10.5,13.0,0.0,1208.0,84.0,796.0,534.0,13.0,12.0,11.5
file:///C:/Users/74993/Desktop/毕设/wll论文/java%20project/defects4j/project_repos/output/jfreechart/src/main/java/org/jfree/chart/annotations/CategoryTextAnnotation.java,6.5,5.0,0.0,548.0,39.0,365.0,270.0,5.5,5.5,7.5
file:///C:/Users/74993/Desktop/毕设/wll论文/java%20project/defects4j/project_repos/output/jfreechart/src/main/java/org/jfree/chart/annotations/TextAnnotation.java,5.5,5.5,0.0,583.0,43.0,377.0,350.0,8.0,6.0,8.5
file:///C:/Users/74993/Desktop/毕设/wll论文/java%20project/defects4j/project_repos/output/jfreechart/src/main/java/org/jfree/chart/annotations/XYBoxAnnotation.java,7.5,8.0,0.0,843.0,63.0,553.0,376.0,7.5,6.5,8.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java%20project/defects4j/project_repos/output/jfreechart/src/main/java/org/jfree/chart/annotations/XYDataImageAnnotation.java,7.0,6.0,0.0,684.0,60.0,445.0,364.0,6.5,5.0,7.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java%20project/defects4j/project_repos/output/jfreechart/src/main/java/org/jfree/chart/annotations/XYDrawableAnnotation.java,6.0,5.5,0.0,680.0,51.0,430.0,297.0,6.0,6.0,6.5
file:///C:/Users/74993/Desktop/毕设/wll论文/java%20project/defects4j/project_repos/output/jfreechart/src/main/java/org/jfree/chart/annotations/XYImageAnnotation.java,5.5,5.5,0.0,597.0,51.0,399.0,297.0,6.0,5.5,6.5
file:///C:/Users/74993/Desktop/毕设/wll论文/java%20project/defects4j/project_repos/output/jfreechart/src/main/java/org/jfree/chart/annotations/XYLineAnnotation.java,6.5,7.0,0.5,842.0,56.0,554.0,359.0,6.5,5.5,7.5
file:///C:/Users/74993/Desktop/毕设/wll论文/java%20project/defects4j/project_repos/output/jfreechart/src/main/java/org/jfree/chart/annotations/XYPointerAnnotation.java,7.5,9.0,0.0,1298.0,86.0,846.0,548.0,14.0,10.0,8.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java%20project/defects4j/project_repos/output/jfreechart/src/main/java/org/jfree/chart/annotations/XYPolygonAnnotation.java,7.0,6.0,0.0,818.0,47.0,556.0,350.0,6.0,6.0,7.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java%20project/defects4j/project_repos/output/jfreechart/src/main/java/org/jfree/chart/annotations/XYShapeAnnotation.java,6.0,7.0,0.0,774.0,55.0,545.0,298.0,6.5,6.0,6.5
file:///C:/Users/74993/Desktop/毕设/wll论文/java%20project/defects4j/project_repos/output/jfreechart/src/main/java/org/jfree/chart/annotations/XYTextAnnotation.java,7.5,9.0,0.0,1249.0,87.0,827.0,644.0,17.0,9.5,10.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java%20project/defects4j/project_repos/output/jfreechart/src/main/java/org/jfree/chart/annotations/XYTitleAnnotation.java,6.0,7.0,0.0,989.0,67.0,683.0,391.0,8.0,8.0,7.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java%20project/defects4j/project_repos/output/jfreechart/src/main/java/org/jfree/chart/api/RectangleInsets.java,6.5,7.5,0.5,1250.0,104.0,686.0,524.0,9.5,8.0,31.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java%20project/defects4j/project_repos/output/jfreechart/src/main/java/org/jfree/chart/api/Rotation.java,5.0,0.5,0.0,45.0,7.0,24.0,75.0,0.5,0.0,5.5
file:///C:/Users/74993/Desktop/毕设/wll论文/java%20project/defects4j/project_repos/output/jfreechart/src/main/java/org/jfree/chart/axis/Axis.java,11.5,26.0,0.0,3616.0,274.0,2419.0,1682.0,27.5,26.0,10.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java%20project/defects4j/project_repos/output/jfreechart/src/main/java/org/jfree/chart/axis/AxisCollection.java,5.5,1.5,0.5,186.0,13.0,118.0,141.0,1.0,1.5,6.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java%20project/defects4j/project_repos/output/jfreechart/src/main/java/org/jfree/chart/axis/AxisSpace.java,7.0,5.5,0.0,827.0,45.0,534.0,370.0,5.5,5.5,6.5
file:///C:/Users/74993/Desktop/毕设/wll论文/java%20project/defects4j/project_repos/output/jfreechart/src/main/java/org/jfree/chart/axis/AxisState.java,5.5,1.5,0.0,247.0,27.0,137.0,194.0,2.0,2.5,6.5
file:///C:/Users/74993/Desktop/毕设/wll论文/java%20project/defects4j/project_repos/output/jfreechart/src/main/java/org/jfree/chart/axis/CategoryAxis.java,14.0,25.5,0.5,3503.0,275.0,2155.0,1403.0,27.5,25.0,8.5
file:///C:/Users/74993/Desktop/毕设/wll论文/java%20project/defects4j/project_repos/output/jfreechart/src/main/java/org/jfree/chart/axis/CategoryLabelPosition.java,5.0,3.0,0.5,386.0,35.0,243.0,255.0,2.5,2.0,6.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java%20project/defects4j/project_repos/output/jfreechart/src/main/java/org/jfree/chart/axis/CategoryLabelPositions.java,5.5,7.0,0.0,822.0,41.0,656.0,401.0,8.0,7.0,166.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java%20project/defects4j/project_repos/output/jfreechart/src/main/java/org/jfree/chart/axis/CategoryTick.java,3.0,2.0,0.0,230.0,18.0,143.0,147.0,1.5,1.5,5.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java%20project/defects4j/project_repos/output/jfreechart/src/main/java/org/jfree/chart/axis/CompassFormat.java,4.0,1.5,0.0,252.0,24.0,140.0,152.0,4.0,1.5,4.5
file:///C:/Users/74993/Desktop/毕设/wll论文/java%20project/defects4j/project_repos/output/jfreechart/src/main/java/org/jfree/chart/axis/CyclicNumberAxis.java,11.5,20.5,0.0,2943.0,190.0,1777.0,1165.0,31.0,20.0,9.5
file:///C:/Users/74993/Desktop/毕设/wll论文/java%20project/defects4j/project_repos/output/jfreechart/src/main/java/org/jfree/chart/axis/DateAxis.java,12.0,36.0,0.0,5167.0,340.0,3241.0,1821.0,39.0,37.5,7.5
file:///C:/Users/74993/Desktop/毕设/wll论文/java%20project/defects4j/project_repos/output/jfreechart/src/main/java/org/jfree/chart/axis/DateTick.java,3.5,1.5,0.0,172.0,20.0,113.0,132.0,1.0,1.0,4.5
file:///C:/Users/74993/Desktop/毕设/wll论文/java%20project/defects4j/project_repos/output/jfreechart/src/main/java/org/jfree/chart/axis/DateTickUnit.java,4.0,4.0,0.0,604.0,48.0,347.0,348.0,3.5,3.0,5.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java%20project/defects4j/project_repos/output/jfreechart/src/main/java/org/jfree/chart/axis/DateTickUnitType.java,3.0,0.0,0.0,85.0,12.0,64.0,88.0,0.5,0.5,3.5
file:///C:/Users/74993/Desktop/毕设/wll论文/java%20project/defects4j/project_repos/output/jfreechart/src/main/java/org/jfree/chart/axis/ExtendedCategoryAxis.java,4.0,3.5,0.0,467.0,34.0,331.0,250.0,5.0,4.0,4.5
file:///C:/Users/74993/Desktop/毕设/wll论文/java%20project/defects4j/project_repos/output/jfreechart/src/main/java/org/jfree/chart/axis/LogarithmicAxis.java,9.5,14.5,0.0,2542.0,135.0,1224.0,1034.0,18.5,14.0,5.5
file:///C:/Users/74993/Desktop/毕设/wll论文/java%20project/defects4j/project_repos/output/jfreechart/src/main/java/org/jfree/chart/axis/LogAxis.java,7.0,19.5,0.0,2738.0,241.0,1543.0,1039.0,19.5,18.5,5.5
file:///C:/Users/74993/Desktop/毕设/wll论文/java%20project/defects4j/project_repos/output/jfreechart/src/main/java/org/jfree/chart/axis/LogTick.java,2.5,0.0,0.0,58.0,8.0,41.0,78.0,3.0,1.0,3.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java%20project/defects4j/project_repos/output/jfreechart/src/main/java/org/jfree/chart/axis/MarkerAxisBand.java,3.5,5.0,0.0,612.0,51.0,423.0,269.0,4.5,5.5,4.5
