document,compile_component,locate_component,traverse_component,NOD,DEF,OCC,LOC,gotoDefinition,rename,completion
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/DEF/bx/DEF_80.java,14.666666666666666,22.0,0.6666666666666666,1253.0,80.0,723.0,611.0,23.75,20.875,16.5
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/DEF/by/DEF_160.java,11.0,27.0,0.0,1889.0,160.0,1053.0,1011.0,26.0,25.875,11.5
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/DEF/bz/DEF_240.java,25.0,47.666666666666664,0.0,3294.0,240.0,2050.0,1617.0,49.25,48.5,27.375
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/DEF/ca/DEF_320.java,25.0,53.666666666666664,0.0,3753.0,320.0,2231.0,1626.0,54.25,52.5,24.875
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/DEF/cb/DEF_400.java,22.666666666666668,16.666666666666668,0.0,1294.0,400.0,592.0,1727.0,17.75,16.625,23.375
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/DEF/cc/DEF_480.java,23.333333333333332,79.0,0.0,5617.0,478.0,3278.0,3107.0,79.625,76.625,25.875
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/DEF/cd/DEF_560.java,23.666666666666668,103.0,0.0,7369.0,560.0,3951.0,2357.0,103.0,99.5,22.875
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/DEF/ce/DEF_640.java,23.333333333333332,110.33333333333333,0.0,7461.0,640.0,4566.0,3290.0,107.25,105.375,21.625
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/DEF/cf/DEF_720.java,22.666666666666668,123.0,0.0,8691.0,720.0,5267.0,3850.0,127.0,125.0,22.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/DEF/cg/DEF_800.java,23.0,148.0,0.0,10085.0,800.0,6252.0,4447.0,145.375,144.0,23.625
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/DEF/ch/DEF_880.java,22.666666666666668,156.0,0.0,11327.0,880.0,6654.0,4886.0,161.75,165.25,24.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/DEF/ci/DEF_960.java,23.666666666666668,179.33333333333334,0.0,12950.0,960.0,7642.0,5411.0,189.125,183.125,25.875
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/DEF/cj/DEF_1040.java,30.666666666666668,191.33333333333334,0.0,13827.0,1040.0,8150.0,5883.0,197.0,192.625,25.625
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/DEF/ck/DEF_1120.java,24.666666666666668,217.66666666666666,0.0,15466.0,1119.0,8980.0,6073.0,223.875,218.875,26.125
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/DEF/cl/DEF_1200.java,25.0,223.0,0.0,15755.0,1200.0,9328.0,6470.0,229.25,229.0,28.25
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/DEF/cm/DEF_1280.java,25.333333333333332,235.33333333333334,0.0,16541.0,1280.0,9724.0,7011.0,233.25,230.625,28.5
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/DEF/cn/DEF_1360.java,26.0,199.0,0.3333333333333333,14345.0,1360.0,8308.0,7093.0,206.125,202.75,31.125
