document,dataset,compile_component,locate_component,traverse_component,NOD,DEF,OCC,LOC,gotoDefinition,rename,completion,subcontextNum
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/DEF/bx/DEF_80.java,DEF,13.262033333333333,46.63676666666667,0.0,1552.0,79.0,959.0,539.0,40.7392125,35.842825000000005,9.642575,0.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/DEF/by/DEF_160.java,DEF,10.460766666666666,55.81719999999999,0.0,2643.0,196.0,1680.0,1245.0,51.9555875,48.5403,8.173137500000001,0.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/DEF/bz/DEF_240.java,DEF,7.447266666666667,61.88163333333333,0.33346666666666663,3067.0,270.0,1795.0,1534.0,62.8628,59.1960375,7.88985,0.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/DEF/ca/DEF_320.java,DEF,8.3492,68.26373333333333,0.0,3966.0,316.0,2231.0,1866.0,70.9978125,66.36755,6.135675,0.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/DEF/cb/DEF_400.java,DEF,7.599466666666667,124.90350000000001,0.0,6214.0,432.0,3752.0,2267.0,112.5624,106.56285,6.7940875,0.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/DEF/cc/DEF_480.java,DEF,10.3499,41.58690000000001,0.0,2320.0,483.0,1139.0,2164.0,35.7298125,37.8493,8.58405,0.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/DEF/cd/DEF_560.java,DEF,7.015566666666667,67.76123333333334,0.0,3168.0,568.0,1835.0,2596.0,55.3243875,56.874325,8.238475,0.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/DEF/ce/DEF_640.java,DEF,8.213266666666666,120.01736666666666,0.0,5851.0,673.0,3319.0,2587.0,110.73425,100.5744375,6.796325,0.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/DEF/cf/DEF_720.java,DEF,9.088433333333334,185.5245,0.33293333333333336,10138.0,748.0,6156.0,4759.0,177.5608375,174.27525,11.0482625,0.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/DEF/cg/DEF_800.java,DEF,9.192266666666667,207.1292,0.33359999999999995,10351.0,833.0,6248.0,4445.0,186.39315,167.3683625,9.271425,0.0
