target,test_dataset,MSE,MAE,RMAE,R2,mean_real,mean_pred
rename,DEF,5597.257405021932,58.42367738497722,0.2568143088003978,0.8011880791542675,227.49385599999997,251.9857229440245
rename,LOC,3453.753954538875,48.683189604321136,0.17927835607149714,0.8193244810512447,271.55084791666667,246.35875975644115
rename,NOD,5577.8158447946935,66.25346973757222,0.26817601474770303,0.80274691572055,247.0521825,262.18844490536844
rename,OCC,3632.256530253842,52.77677107347185,0.20250880661569384,0.7576198864061894,260.61469600000004,260.6163026666667
rename,ALL,4576.498377885805,56.6135808626691,0.22512414707006276,0.8004808087248889,251.47715871212128,255.3774949197584
gotoDefinition,DEF,5144.668879673368,53.031638384977235,0.22787374498846752,0.8165786574239207,232.723776,251.9857229440245
gotoDefinition,LOC,3916.601329059029,50.077076103531624,0.18179561873399527,0.8016042758370807,275.45810208333336,246.35875975644115
gotoDefinition,NOD,5288.343589413586,62.616696237572235,0.25113124608262405,0.811146086774131,249.33853200000001,262.18844490536844
gotoDefinition,OCC,3630.0575913245107,52.37764357347185,0.19945305392432047,0.7628202255746916,262.6063755,260.6163026666667
gotoDefinition,ALL,4500.759428360639,54.57069981197264,0.21414939969305932,0.8047762225033974,254.82536906565656,255.3774949197584
completion,DEF,5.098781870559327,1.749750892283583,0.14953550371719845,0.7288268433521605,11.701240499999999,11.288721936107775
completion,LOC,2.6482224957741054,1.192177376019141,0.10335824873591656,0.8994969714043254,11.534419270833332,10.753833333333333
completion,NOD,5.302612671747548,1.813143998071726,0.16384112848129448,0.8703600029811643,11.0664765,11.17906272023876
completion,OCC,5.851347883573002,2.0094615996232705,0.1621637045937607,0.8107389292758574,12.391562,11.333921506457095
completion,ALL,4.746221217632074,1.696173427009332,0.14528465266354737,0.8391127947114457,11.674828661616164,11.14277428353627
