document,compile_component,locate_component,traverse_component,NOD,DEF,OCC,LOC,gotoDefinition,rename,completion
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/DEF/bx/DEF_80.java,19.0,14.0,0.0,1253.0,80.0,723.0,611.0,18.5,15.0,5.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/DEF/by/DEF_160.java,286.0,48.0,0.0,1889.0,160.0,1053.0,1011.0,64.0,34.0,22.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/DEF/bz/DEF_240.java,216.0,59.0,0.0,3294.0,240.0,2050.0,1617.0,93.0,57.5,58.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/DEF/ca/DEF_320.java,89.0,52.0,0.0,3753.0,320.0,2231.0,1626.0,92.5,62.0,33.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/DEF/cb/DEF_400.java,35.0,19.0,0.0,1294.0,400.0,592.0,1727.0,32.0,18.5,51.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/DEF/cc/DEF_480.java,87.0,92.0,1.0,5617.0,478.0,3278.0,3107.0,114.5,79.5,36.5
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/DEF/cd/DEF_560.java,136.0,119.0,0.0,7369.0,560.0,3951.0,2357.0,138.5,85.0,31.5
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/DEF/ce/DEF_640.java,124.0,124.0,0.0,7461.0,640.0,4566.0,3290.0,145.0,96.0,48.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/DEF/cf/DEF_720.java,80.0,125.0,0.0,8691.0,720.0,5267.0,3850.0,163.0,116.0,35.5
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/DEF/cg/DEF_800.java,103.0,144.0,1.0,10085.0,800.0,6252.0,4447.0,155.5,142.5,31.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/DEF/ch/DEF_880.java,71.0,158.0,0.0,11327.0,880.0,6654.0,4886.0,176.0,176.0,33.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/DEF/ci/DEF_960.java,108.0,174.0,0.0,12950.0,960.0,7642.0,5411.0,209.0,184.5,33.5
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/DEF/cj/DEF_1040.java,99.0,161.0,0.0,13827.0,1040.0,8150.0,5883.0,239.5,207.5,34.5
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/DEF/ck/DEF_1120.java,83.0,202.0,0.0,15466.0,1119.0,8980.0,6073.0,275.5,188.0,42.5
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/DEF/cl/DEF_1200.java,99.0,192.0,0.0,15755.0,1200.0,9328.0,6470.0,245.5,217.5,31.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/DEF/cm/DEF_1280.java,115.0,231.0,0.0,16541.0,1280.0,9724.0,7011.0,268.5,214.5,31.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/DEF/cn/DEF_1360.java,113.0,203.0,1.0,14345.0,1360.0,8308.0,7093.0,199.5,175.5,33.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/DEF/co/DEF_1440.java,91.0,204.0,0.0,16840.0,1440.0,10042.0,6879.0,239.0,220.0,36.5
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/DEF/cp/DEF_1520.java,71.0,223.0,0.0,19542.0,1520.0,11749.0,8337.0,277.5,243.0,41.5
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/DEF/cq/DEF_1600.java,109.0,232.0,0.0,21217.0,1598.0,12642.0,8793.0,294.5,256.0,29.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/DEF/cr/DEF_1680.java,98.0,279.0,0.0,21683.0,1679.0,12892.0,8977.0,302.0,258.5,28.5
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/DEF/cs/DEF_1760.java,76.0,263.0,0.0,23087.0,1760.0,13585.0,9962.0,296.0,275.0,30.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/DEF/ct/DEF_1840.java,64.0,278.0,0.0,24785.0,1840.0,14651.0,10365.0,314.0,292.5,37.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/DEF/cu/DEF_1920.java,70.0,296.0,0.0,25518.0,1920.0,15063.0,10771.0,321.5,304.0,35.5
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/DEF/cv/DEF_2000.java,78.0,311.0,1.0,25719.0,2000.0,15216.0,10875.0,348.0,317.5,43.5
