document,compile_component,locate_component,traverse_component,NOD,DEF,OCC,LOC,gotoDefinition,rename,completion
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/LOC/a/LOC_400.java,24.0,9.0,0.0,905.0,65.0,566.0,399.0,15.0,9.5,7.5
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/LOC/b/LOC_800.java,22.0,24.0,0.0,1952.0,127.0,1273.0,785.0,32.0,24.5,11.5
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/LOC/c/LOC_1200.java,79.0,44.0,0.0,2651.0,212.0,1461.0,1199.0,41.5,28.0,10.5
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/LOC/d/LOC_1600.java,54.0,60.0,0.0,5021.0,340.0,3095.0,1575.0,71.5,60.5,17.5
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/LOC/e/LOC_2000.java,31.0,48.0,0.0,4296.0,378.0,2480.0,1996.0,68.0,47.5,18.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/LOC/f/LOC_2400.java,48.0,113.0,0.0,7610.0,572.0,4141.0,2397.0,114.0,95.5,25.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/LOC/g/LOC_2800.java,61.0,104.0,1.0,8277.0,713.0,4503.0,2793.0,112.5,90.0,20.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/LOC/h/LOC_3200.java,35.0,61.0,0.0,5703.0,488.0,3325.0,3197.0,83.0,63.5,22.5
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/LOC/i/LOC_3600.java,42.0,74.0,0.0,6910.0,572.0,4017.0,3597.0,100.0,79.0,23.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/LOC/j/LOC_4000.java,45.0,94.0,0.0,7599.0,646.0,4518.0,3995.0,107.0,95.5,24.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/LOC/k/LOC_4400.java,46.0,108.0,0.0,8941.0,753.0,5255.0,4364.0,142.5,113.0,22.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/LOC/l/LOC_4800.java,46.0,140.0,0.0,10925.0,848.0,6447.0,4797.0,138.5,130.0,20.5
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/LOC/m/LOC_5200.java,62.0,142.0,0.0,12461.0,927.0,7359.0,5195.0,197.5,161.0,25.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/LOC/n/LOC_5600.java,54.0,184.0,0.0,13864.0,1028.0,8241.0,5596.0,182.0,160.0,30.5
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/LOC/o/LOC_6000.java,55.0,169.0,0.0,14282.0,1078.0,8517.0,5995.0,194.0,172.5,24.5
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/LOC/p/LOC_6400.java,58.0,201.0,0.0,15630.0,1187.0,9257.0,6367.0,205.0,181.0,27.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/LOC/q/LOC_6800.java,55.0,209.0,0.0,16672.0,1429.0,9955.0,6795.0,242.5,219.5,27.5
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/LOC/r/LOC_7200.java,62.0,215.0,0.0,16936.0,1316.0,9950.0,7194.0,237.5,246.0,28.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/LOC/s/LOC_7600.java,68.0,254.0,1.0,20314.0,1516.0,11625.0,7595.0,272.5,230.5,25.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/LOC/t/LOC_8000.java,70.0,228.0,0.0,19117.0,1475.0,11498.0,7969.0,254.5,221.0,60.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/LOC/u/LOC_8400.java,71.0,216.0,0.0,18250.0,1417.0,10752.0,8395.0,263.5,210.5,29.5
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/LOC/v/LOC_8800.java,64.0,233.0,0.0,18857.0,1488.0,11080.0,8790.0,273.5,215.0,29.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/LOC/w/LOC_9200.java,68.0,235.0,0.0,20405.0,1525.0,11724.0,9190.0,280.5,243.5,29.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/LOC/x/LOC_9600.java,110.0,251.0,1.0,21419.0,1682.0,12639.0,9592.0,286.5,245.5,34.5
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/LOC/y/LOC_10000.java,71.0,300.0,0.0,23629.0,1792.0,13931.0,9995.0,340.5,278.0,26.5
