document,compile_component,locate_component,traverse_component,NOD,DEF,OCC,LOC,gotoDefinition,rename,completion
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/NOD/aa/NOD_2000.java,18.0,23.0,0.0,1992.0,168.0,1246.0,899.0,31.0,23.0,9.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/NOD/ab/NOD_3000.java,28.0,36.0,0.0,2987.0,241.0,1828.0,1081.0,44.5,42.0,11.5
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/NOD/ac/NOD_4000.java,46.0,53.0,0.0,3988.0,348.0,2539.0,1569.0,64.0,53.0,17.5
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/NOD/ad/NOD_5000.java,36.0,83.0,0.0,4986.0,405.0,3240.0,1805.0,74.0,64.0,16.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/NOD/ae/NOD_6000.java,36.0,63.0,0.0,5986.0,522.0,3420.0,3358.0,78.0,63.0,19.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/NOD/af/NOD_7000.java,35.0,79.0,0.0,6991.0,580.0,4328.0,2979.0,101.0,83.0,17.5
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/NOD/ag/NOD_8000.java,71.0,95.0,0.0,7987.0,584.0,5019.0,3319.0,113.5,94.5,19.5
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/NOD/ah/NOD_9000.java,44.0,104.0,0.0,8987.0,658.0,5603.0,3640.0,139.0,106.0,19.5
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/NOD/ai/NOD_10000.java,67.0,109.0,0.0,9985.0,672.0,5885.0,4087.0,135.5,108.5,22.5
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/NOD/aj/NOD_11000.java,46.0,124.0,0.0,10991.0,875.0,6452.0,4923.0,153.5,129.0,22.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/NOD/ak/NOD_12000.java,44.0,133.0,0.0,11991.0,932.0,7024.0,5106.0,175.5,146.0,25.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/NOD/al/NOD_13000.java,71.0,145.0,0.0,12992.0,967.0,7662.0,5486.0,179.5,193.5,25.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/NOD/am/NOD_14000.java,52.0,168.0,0.0,13991.0,1080.0,8260.0,6002.0,185.5,165.5,24.5
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/NOD/an/NOD_15000.java,99.0,219.0,0.0,14986.0,1130.0,8761.0,6390.0,207.5,177.5,24.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/NOD/ao/NOD_16000.java,61.0,192.0,0.0,15984.0,1213.0,9648.0,6911.0,231.5,206.5,27.5
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/NOD/ap/NOD_17000.java,59.0,215.0,0.0,16985.0,1284.0,10330.0,6774.0,263.5,240.5,27.5
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/NOD/aq/NOD_18000.java,64.0,237.0,0.0,17985.0,1401.0,10598.0,8279.0,264.0,253.5,29.5
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/NOD/ar/NOD_19000.java,74.0,240.0,0.0,18981.0,1466.0,11148.0,8619.0,238.5,225.5,28.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/NOD/as/NOD_20000.java,126.0,227.0,0.0,19985.0,1469.0,12128.0,8300.0,290.0,231.0,27.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/NOD/at/NOD_21000.java,83.0,259.0,0.0,20982.0,1541.0,12666.0,8755.0,290.0,237.0,38.5
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/NOD/au/NOD_22000.java,152.0,294.0,0.0,21979.0,1543.0,13238.0,8618.0,300.5,265.0,24.5
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/NOD/av/NOD_23000.java,105.0,268.0,0.0,22986.0,1748.0,13534.0,9866.0,292.0,273.0,54.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/NOD/aw/NOD_24000.java,90.0,297.0,0.0,23983.0,1804.0,14119.0,10035.0,312.0,302.0,49.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/NOD/ax/NOD_25000.java,127.0,292.0,1.0,24969.0,1858.0,14793.0,10448.0,328.0,319.0,27.5
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/NOD/z/NOD_1000.java,12.0,12.0,0.0,986.0,76.0,550.0,294.0,15.5,10.0,4.0
